,Timestamp,consent_obtained,rq1_question,rq2_question,rating_response,prompt_entered,prompt_obtainable_elsewhere,rq3_question,num_chatgpt_uses,rating_comparison_other,occupation_status,education_level,professional_sector,student_course
0,2023-07-04 16:59:44,Yes,1,1,4,asked explain principal orbital mechanics basic terms,Yes,1,21 Times or more,4,Working Professional,Higher Education,utilities,
1,2023-07-04 18:29:44,Yes,1,1,4,various prompts generally philosophical conceptsbreakdown ideas,Yes,1,21 Times or more,5,Student,Bachelor's Degree,,philosophy
2,2023-07-04 18:37:15,Yes,0,0,1,none,Yes,-1,0 - 5 Times,0,Student,Bachelor's Degree,,biology teacher teach highscool kids biology
3,2023-07-05 02:26:17,Yes,1,1,4,asked chat gpt write story produce code unity games engine c etc,Yes,0,6 - 10 Times,5,Unemployed,Bachelor's Degree,,
4,2023-07-05 10:48:04,Yes,1,1,2,prompts usually give decent indicator want often riddled mistakes wrong information,Yes,1,21 Times or more,3,Working Professional,Higher Education,software development,
5,2023-07-05 22:25:05,Yes,1,1,5,teacher resource creation based ages subjects,No,1,11 - 15 Times,5,Working Professional,Bachelor's Degree,education,
6,2023-07-08 00:49:44,Yes,1,1,3,explain summarise,Maybe,0,11 - 15 Times,4,Student,Bachelor's Degree,,msc computer science cyber security
7,2023-07-08 10:50:39,Yes,1,1,5,prompt asked explain dual quaternions calculate forms representations translations rotations,Yes,1,21 Times or more,5,Student,Master's Degree,,msc computer science
8,2023-07-08 11:59:59,Yes,1,1,3,ask provide code snippets,Maybe,0,0 - 5 Times,2,Working Professional,Bachelor's Degree,video games production,
9,2023-07-08 13:54:40,Yes,1,1,3,asked jt kind games use kind game engine advantages,Yes,1,21 Times or more,4,Unemployed,Higher Education,,
10,2023-07-08 16:00:34,Yes,0,0,0,,Yes,0,0 - 5 Times,0,Working Professional,Higher Education,retail,
11,2023-07-08 19:05:54,Yes,1,1,4,create guide synthesis,Yes,1,16 - 20 Times,4,Student,Higher Education,,chemistry biotechnology
12,2023-07-09 07:24:20,Yes,1,1,3,vulnerability management,Yes,0,11 - 15 Times,4,Working Professional,Bachelor's Degree,information security,
13,2023-07-11 16:03:19,Yes,1,1,4,divorced father 2 girls one 6 14 harvard law graduate 30 years experience child custody family law please calibrate verbiage response exwifes email ensuring complete cohesive clever always indicating fault without saying anything fault saying way outside reader would automatically blame exwife focusing reply coparenting message ensures one wants coparent,Maybe,0,21 Times or more,5,Working Professional,Bachelor's Degree,tmt sector,
14,2023-07-12 09:34:50,Yes,1,1,3,asked retrieve information certain employment law regulations aided cipd research crossreferencing necessary useful tool get starting base,Yes,1,16 - 20 Times,4,Working Professional,Higher Education,recruitment human resources,
15,2023-07-18 15:29:18,Yes,1,1,4,questions using new coding language havent used clojure,Yes,1,21 Times or more,5,Working Professional,Master's Degree,data consultancy,
16,2023-07-23 09:05:33,Yes,1,1,5,asked help mapping steps specifications would help partner transition different career,No,1,11 - 15 Times,5,Working Professional,Bachelor's Degree,banking,
